Name,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,OverTime,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked,Education,DistanceFromHome,BusinessTravel,TrainingTimesLastYear,TasksCompletedLastMonth,TasksCompletedNextMonth
Rebecca Valencia,46,Other,HR,Analyst,5797,2,12,Yes,2,3,3,5,25,Travel_Frequently,3,35,35
Christine Wright,59,Other,HR,Sales Executive,6045,26,13,Yes,3,4,6,4,16,Travel_Rarely,1,28,32
Richard Henson,28,Other,Sales,Developer,8254,9,6,No,2,3,2,3,22,Travel_Rarely,2,48,46
Marc Moore,35,Female,HR,Analyst,16843,1,12,No,1,2,3,2,23,Travel_Frequently,0,29,25
Sharon Cherry,29,Other,R&D,Sales Executive,12977,5,4,Yes,2,3,5,3,27,Travel_Rarely,5,44,47
Sierra Johnson,36,Male,R&D,Sales Executive,11405,24,10,No,1,1,5,1,26,Travel_Rarely,0,33,37
Evelyn Galvan,51,Female,HR,Analyst,16661,5,7,Yes,1,2,0,1,13,Travel_Frequently,4,33,37
Sharon Cochran,37,Female,R&D,Manager,11852,10,1,No,3,2,1,1,1,Travel_Frequently,3,41,38
Richard Rodriguez,26,Other,Sales,Sales Executive,16428,0,12,Yes,3,1,3,5,7,Non-Travel,1,32,33
Shannon Walker,30,Other,R&D,Manager,12509,7,7,Yes,2,1,7,1,6,Travel_Rarely,5,19,24
Julia Torres,53,Other,Sales,Sales Executive,3766,6,14,Yes,2,3,0,2,17,Travel_Frequently,6,17,18
Crystal Johnson,22,Female,HR,Sales Executive,6345,1,13,Yes,4,2,7,1,30,Non-Travel,6,49,48
Garrett Lin,25,Other,HR,Developer,11363,24,8,Yes,4,3,1,5,27,Travel_Rarely,6,32,29
Diana May,46,Male,Sales,Manager,5237,18,13,No,3,4,5,1,19,Travel_Frequently,4,41,45
William Herrera,26,Male,Sales,Analyst,3807,11,10,No,1,4,0,1,13,Travel_Rarely,0,42,41
Ashley Waller,30,Male,R&D,Developer,7174,29,13,No,1,1,6,5,3,Travel_Rarely,6,38,37
Victor Baker,51,Other,R&D,Analyst,11422,19,2,Yes,4,4,0,4,15,Travel_Frequently,3,21,18
Jeffrey Chandler,57,Male,HR,Developer,12638,22,3,No,4,4,0,3,26,Travel_Rarely,2,36,41
Larry Dixon,38,Other,Sales,Analyst,15077,17,1,No,1,4,1,2,10,Travel_Frequently,6,28,29
Kenneth Scott,23,Other,Sales,Analyst,11517,18,8,No,2,4,9,1,13,Travel_Frequently,0,37,41
April Frost,27,Female,Sales,Sales Executive,17594,26,14,No,1,1,1,3,18,Non-Travel,1,23,19
Michelle Harmon,56,Other,R&D,Manager,5087,27,8,Yes,3,2,7,5,24,Travel_Frequently,1,16,16
Helen Jones,37,Female,HR,Analyst,5110,0,10,Yes,4,4,1,4,22,Travel_Rarely,1,42,44
Erin Edwards,55,Male,R&D,Analyst,8454,13,3,No,3,1,5,4,21,Travel_Frequently,5,20,15
Michelle Evans,48,Female,Sales,Developer,12254,1,4,No,2,1,3,5,4,Travel_Frequently,0,41,36
Jason Powell,24,Female,Sales,Sales Executive,14840,13,0,Yes,3,1,8,1,27,Travel_Frequently,2,22,22
Cameron Fisher,54,Male,HR,Analyst,5756,20,11,Yes,2,3,8,1,28,Non-Travel,2,27,24
Megan Orr,50,Female,HR,Sales Executive,3341,5,10,No,1,4,7,3,19,Non-Travel,6,36,34
Elizabeth Kelley,50,Male,HR,Manager,11070,11,8,Yes,2,3,0,3,25,Non-Travel,6,46,44
Dustin Jordan,33,Male,R&D,Sales Executive,9526,15,11,No,4,2,0,5,18,Non-Travel,0,25,22
Mary Marshall,28,Other,HR,Manager,17693,28,7,Yes,4,2,0,5,2,Travel_Rarely,6,25,20
Daniel Kennedy,53,Male,Sales,Manager,4495,30,3,Yes,3,4,9,4,17,Travel_Frequently,3,38,36
Rebecca Jackson,39,Male,R&D,Sales Executive,19559,29,8,No,3,3,7,2,15,Travel_Rarely,2,15,18
Jose Schultz,30,Other,Sales,Analyst,10684,28,8,Yes,3,4,5,3,23,Travel_Frequently,0,27,30
Robert Potter,38,Male,HR,Analyst,19562,10,8,Yes,3,3,7,3,27,Non-Travel,6,44,42
Courtney Gonzalez,50,Male,Sales,Developer,13937,25,8,No,3,2,4,5,28,Non-Travel,3,27,28
David Alvarez,50,Other,R&D,Analyst,19237,20,8,Yes,1,1,9,4,10,Travel_Frequently,2,49,53
Angel Perry,37,Male,Sales,Manager,6662,3,14,Yes,2,2,4,5,29,Non-Travel,3,28,30
Cheyenne Horton,53,Male,Sales,Analyst,3282,23,10,Yes,2,2,7,3,12,Travel_Frequently,6,44,45
David Douglas Jr.,24,Other,R&D,Analyst,14492,14,2,No,1,4,9,3,22,Travel_Rarely,1,39,41
Patricia Rodriguez,32,Other,HR,Sales Executive,10299,21,14,No,2,3,8,4,30,Travel_Frequently,1,49,45
Christopher Rubio,48,Male,Sales,Analyst,4522,5,11,Yes,1,4,8,1,18,Travel_Rarely,0,48,49
Amber Wright,32,Male,R&D,Manager,18141,15,14,Yes,3,1,7,5,22,Travel_Frequently,4,18,16
Joyce Solis,29,Female,HR,Analyst,10220,5,0,Yes,4,4,7,3,15,Non-Travel,2,27,22
Victoria Larson,35,Male,R&D,Manager,13085,3,5,No,2,4,4,1,4,Non-Travel,2,32,33
Stephanie Salazar,37,Female,Sales,Analyst,14333,29,0,No,3,1,6,4,16,Travel_Rarely,1,31,31
Kathy Rivas,58,Female,R&D,Sales Executive,13310,18,4,Yes,4,2,4,3,11,Travel_Rarely,3,32,28
Stephanie Manning,22,Other,Sales,Developer,19689,20,6,No,4,2,9,3,24,Travel_Rarely,2,31,32
David Wright,43,Female,HR,Sales Executive,16919,24,4,No,1,4,1,1,13,Non-Travel,2,21,17
Pamela Boyd,22,Female,R&D,Developer,19078,12,12,No,3,4,4,1,2,Travel_Rarely,0,37,41
Denise Jones,56,Other,Sales,Manager,18337,5,11,No,1,3,7,4,25,Travel_Frequently,3,30,25
Devon Flores,24,Other,Sales,Manager,11691,14,3,Yes,3,4,4,5,11,Non-Travel,6,40,43
Brenda Hall,54,Other,Sales,Analyst,16755,17,12,Yes,4,3,8,4,30,Non-Travel,2,34,34
Michelle Brown,26,Other,R&D,Analyst,13915,16,11,No,4,3,1,3,2,Travel_Rarely,4,31,28
Joshua Perry,29,Other,HR,Analyst,16569,4,12,Yes,4,1,2,5,11,Non-Travel,3,22,17
Jason Stein,52,Other,R&D,Analyst,19142,27,0,Yes,1,2,1,2,17,Non-Travel,4,41,37
Melissa Gates,44,Male,HR,Manager,19756,11,3,Yes,1,1,0,1,5,Travel_Frequently,5,41,37
Jamie Smith,27,Male,Sales,Developer,5585,12,10,No,4,3,8,2,25,Travel_Frequently,4,43,39
Paul Castaneda,31,Female,R&D,Analyst,14292,4,3,No,1,2,4,2,13,Travel_Frequently,1,40,45
Jennifer Adkins,54,Other,HR,Developer,12151,16,1,No,3,3,7,3,6,Non-Travel,6,25,21
Lindsey Walker,36,Male,HR,Manager,18633,2,0,Yes,1,2,7,1,15,Non-Travel,4,29,33
Jeffrey Johnson,51,Male,Sales,Sales Executive,17199,9,13,Yes,2,4,2,5,11,Travel_Frequently,6,31,29
Michael Powell,29,Male,HR,Developer,9913,27,4,Yes,2,4,2,2,30,Travel_Rarely,2,38,35
John Anderson,35,Female,Sales,Analyst,7386,27,5,Yes,1,4,6,1,20,Travel_Frequently,3,40,42
Alyssa Long,40,Female,HR,Developer,11010,21,12,No,1,3,1,4,3,Travel_Rarely,6,25,25
Alyssa Day,56,Male,R&D,Developer,11465,24,2,No,1,1,9,1,13,Non-Travel,4,41,38
Joel Williams,44,Male,R&D,Sales Executive,9317,14,3,No,2,4,8,3,23,Travel_Frequently,6,46,51
Daniel Murphy,24,Male,HR,Sales Executive,15881,2,2,Yes,2,2,5,5,13,Travel_Rarely,2,31,35
Jamie Walton,51,Male,Sales,Sales Executive,18663,4,11,Yes,3,2,5,2,6,Non-Travel,5,22,27
Darlene Miller,23,Female,Sales,Manager,19901,23,2,No,1,3,8,4,20,Travel_Frequently,0,43,40
Joshua Cooke,31,Female,HR,Analyst,13476,22,12,Yes,3,2,0,2,14,Non-Travel,5,23,28
Matthew Harrington,42,Other,Sales,Developer,3202,21,3,Yes,4,3,4,2,8,Travel_Rarely,6,15,11
Nicole Herring,56,Female,R&D,Manager,15872,11,4,No,2,3,2,3,17,Travel_Frequently,3,31,31
Alex Hernandez,30,Female,Sales,Analyst,12442,25,14,Yes,2,2,1,1,29,Travel_Rarely,1,16,11
Michael Elliott,50,Female,Sales,Manager,13012,30,4,Yes,3,1,1,3,1,Non-Travel,6,28,24
Michael Wang,35,Male,HR,Sales Executive,3595,24,6,Yes,4,1,2,2,21,Travel_Rarely,6,38,34
Lawrence Adkins,34,Female,R&D,Sales Executive,12975,2,6,Yes,1,1,4,2,1,Non-Travel,0,33,35
Robert Oconnell,48,Male,Sales,Analyst,16967,27,8,No,3,2,6,1,28,Travel_Rarely,4,36,39
Alexander Collins,51,Other,R&D,Developer,12712,26,8,No,3,1,9,3,7,Non-Travel,4,36,38
Tina Sanders,47,Other,R&D,Sales Executive,13133,3,7,No,2,3,5,1,30,Travel_Frequently,3,37,41
Angela Vaughn,40,Female,Sales,Analyst,8223,25,8,No,1,2,4,2,23,Non-Travel,1,36,34
Ashley Barton,58,Other,R&D,Manager,14684,19,14,No,3,3,4,3,19,Travel_Rarely,5,24,19
Lindsay Martinez,58,Other,R&D,Analyst,5917,10,12,Yes,2,1,7,1,24,Travel_Rarely,5,39,43
Dr. Hannah Patterson,57,Female,R&D,Sales Executive,3072,24,9,Yes,3,4,8,2,7,Travel_Rarely,2,21,24
Jonathan Peterson,34,Other,Sales,Developer,16811,17,2,No,3,1,1,2,19,Travel_Frequently,1,38,43
Samantha Garcia,42,Other,HR,Sales Executive,5724,13,13,Yes,1,1,5,1,11,Travel_Rarely,5,34,37
Madison Poole,53,Male,R&D,Manager,17151,0,14,Yes,4,4,9,5,28,Non-Travel,6,37,34
Jessica Gross,27,Male,R&D,Developer,18486,25,11,No,1,1,7,2,18,Non-Travel,6,43,41
Debra Morton,25,Male,HR,Analyst,15976,14,10,No,3,3,2,4,2,Travel_Rarely,1,36,31
Karen Graham,31,Female,R&D,Manager,19286,16,7,Yes,2,3,2,3,28,Travel_Frequently,2,40,45
Debra Christian,39,Male,Sales,Developer,18052,19,0,No,3,2,7,2,25,Travel_Rarely,1,21,25
Angelica Keith,36,Other,R&D,Developer,16448,5,9,No,3,2,8,2,26,Travel_Rarely,3,31,35
John Bishop,57,Male,R&D,Manager,16627,20,2,No,2,1,9,1,1,Travel_Rarely,6,44,45
Allen Rosales,52,Male,R&D,Manager,6479,30,7,No,1,3,7,2,14,Non-Travel,3,16,15
Daniel Salinas,43,Male,HR,Analyst,13217,16,9,Yes,4,1,5,4,6,Travel_Rarely,2,17,21
Spencer Haynes,37,Other,Sales,Manager,13249,30,10,Yes,3,3,8,2,5,Travel_Frequently,0,17,20
Adam Vaughan,37,Other,HR,Developer,10055,2,13,No,3,1,0,2,22,Travel_Rarely,5,49,46
Nathan Freeman,42,Other,Sales,Developer,13055,0,0,Yes,4,3,0,5,19,Non-Travel,6,17,20
Melissa Brewer,25,Male,Sales,Manager,3642,24,11,No,2,3,2,5,17,Travel_Rarely,5,28,24
Ricky Davis II,33,Male,HR,Sales Executive,11603,3,1,Yes,1,1,7,2,10,Non-Travel,1,49,48
Elizabeth Perkins,39,Female,R&D,Analyst,7360,11,7,Yes,3,4,7,1,9,Travel_Rarely,3,16,19
Joseph Coleman,53,Female,R&D,Developer,14686,12,13,No,1,2,4,4,13,Non-Travel,0,20,25
Erin Warner,41,Male,HR,Developer,7433,18,4,No,3,2,2,3,7,Non-Travel,4,15,15
David Martinez,59,Female,R&D,Sales Executive,18728,29,13,No,3,2,4,1,17,Non-Travel,5,42,43
Bryan Herrera,49,Female,Sales,Developer,12333,28,11,No,3,1,3,3,17,Non-Travel,3,27,26
Cathy Robinson,43,Female,R&D,Analyst,3682,23,9,No,1,4,0,1,26,Travel_Frequently,4,44,48
Dr. William Warren,37,Other,R&D,Analyst,18573,28,9,Yes,3,2,3,2,15,Travel_Frequently,3,25,28
Brian Lee,46,Other,R&D,Analyst,11175,20,6,No,1,1,2,2,16,Travel_Rarely,6,32,33
Christopher Smith,35,Male,R&D,Sales Executive,19251,21,8,No,1,1,8,1,1,Travel_Frequently,0,46,47
Denise Mccann,43,Female,HR,Analyst,8076,30,2,Yes,2,2,5,5,30,Travel_Frequently,6,44,48
Melissa Martinez,37,Female,Sales,Analyst,12471,9,9,Yes,1,1,0,1,27,Travel_Frequently,5,18,23
Katherine Salas,56,Female,Sales,Developer,11755,24,2,Yes,4,4,2,4,11,Travel_Rarely,4,42,37
Julie Alexander,59,Male,HR,Manager,3273,8,6,Yes,3,2,1,2,7,Travel_Frequently,3,36,38
Anthony Everett,52,Other,HR,Developer,12476,21,12,Yes,2,1,2,4,1,Non-Travel,6,18,19
Rodney Morales,48,Female,Sales,Developer,13856,8,1,Yes,3,4,7,1,23,Non-Travel,0,24,27
Mark Brown,28,Male,Sales,Sales Executive,4529,17,6,No,1,3,7,2,13,Travel_Frequently,4,40,43
Justin Torres,38,Other,HR,Developer,14120,6,7,No,1,3,7,2,25,Travel_Frequently,6,44,45
Bailey Duran DDS,31,Female,HR,Sales Executive,11951,26,7,No,1,1,9,2,12,Travel_Frequently,2,41,40
Courtney Mills,41,Other,R&D,Developer,6160,26,13,No,1,3,1,4,13,Travel_Rarely,2,26,26
Jeremy Dalton,45,Female,Sales,Manager,7086,6,2,No,4,3,5,5,20,Travel_Rarely,5,43,46
Elizabeth Oliver DDS,33,Other,R&D,Developer,4484,1,9,No,3,2,5,3,19,Non-Travel,4,39,42
Theresa Clark,23,Other,R&D,Developer,10635,20,7,Yes,4,1,1,5,24,Travel_Frequently,4,40,35
Matthew Moore,58,Other,R&D,Analyst,19585,20,13,No,4,4,3,5,6,Non-Travel,1,17,16
Benjamin Smith,29,Other,HR,Analyst,3294,22,13,Yes,3,2,6,3,22,Non-Travel,3,33,38
Kirk Carter,52,Male,HR,Manager,15792,21,5,No,1,1,8,5,29,Travel_Frequently,3,20,17
Michael Warner,32,Male,Sales,Analyst,15679,6,10,No,1,3,6,2,28,Travel_Frequently,0,46,45
Michael Bradshaw,23,Male,Sales,Analyst,19903,28,12,Yes,2,3,1,2,21,Non-Travel,3,18,23
Lori Guerrero,56,Other,HR,Manager,11179,0,6,Yes,3,1,0,5,22,Travel_Rarely,2,27,28
Jessica Stephens,57,Other,HR,Manager,18994,12,5,Yes,4,1,6,1,25,Travel_Rarely,0,45,50
Susan Serrano,23,Other,R&D,Sales Executive,17323,6,7,No,2,2,5,2,29,Travel_Frequently,2,37,41
Christopher Parker,22,Female,Sales,Developer,6491,11,13,Yes,1,4,9,4,7,Travel_Rarely,1,23,24
Laura Roberts,51,Other,R&D,Analyst,11359,4,6,Yes,2,3,7,2,3,Non-Travel,5,42,45
Michael Lyons,27,Other,HR,Sales Executive,11498,30,8,No,1,1,7,1,28,Travel_Frequently,6,19,17
Kathryn Snyder,22,Other,Sales,Sales Executive,7167,29,3,No,4,3,6,5,25,Travel_Rarely,4,41,39
Andrew Reynolds,48,Female,HR,Developer,12907,24,8,No,2,2,6,2,20,Non-Travel,0,48,48
David Davis,40,Female,Sales,Sales Executive,14857,13,4,Yes,4,3,0,5,14,Travel_Rarely,4,24,22
Sara Johnston,45,Male,HR,Sales Executive,10025,11,7,Yes,3,4,0,3,30,Travel_Frequently,2,21,16
Yvonne Chambers,29,Male,Sales,Sales Executive,17469,6,5,No,1,2,8,5,25,Travel_Rarely,2,48,49
Andrew Avila,58,Other,Sales,Sales Executive,16220,18,8,No,4,4,8,4,7,Travel_Rarely,4,30,25
Matthew Moon,42,Other,HR,Analyst,10044,29,14,Yes,3,1,5,2,22,Travel_Rarely,0,21,20
Kevin Walters,26,Female,HR,Developer,14179,10,11,No,1,1,0,3,23,Non-Travel,2,42,40
