Name,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,OverTime,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked,Education,DistanceFromHome,BusinessTravel,TrainingTimesLastYear,TasksCompletedLastMonth,TasksCompletedNextMonth
Victor Morris,31,Other,HR,Developer,9910,29,12,Yes,1,4,6,4,14,Travel_Frequently,4,21,21
Susan Davis,46,Female,HR,Analyst,10369,9,5,Yes,1,3,0,4,22,Travel_Rarely,1,20,22
Kimberly Sharp,57,Male,HR,Sales Executive,3861,3,0,No,3,2,4,2,22,Non-Travel,2,20,22
Susan Thompson,34,Female,R&D,Analyst,10685,27,9,Yes,3,4,3,3,6,Travel_Frequently,5,15,16
Casey Gillespie,43,Other,HR,Sales Executive,16842,14,6,No,4,2,8,3,13,Travel_Frequently,4,31,30
Jennifer Simpson DVM,49,Male,R&D,Manager,8371,19,11,No,2,4,2,5,2,Non-Travel,4,38,36
Tammy Mcdowell,22,Other,HR,Sales Executive,4026,18,0,Yes,1,3,9,3,19,Travel_Frequently,4,41,39
Keith Rodriguez,39,Male,R&D,Developer,16463,13,0,No,1,2,0,1,21,Travel_Rarely,4,41,37
Mrs. Virginia Daniels,44,Other,Sales,Developer,18967,11,11,No,2,1,6,5,30,Non-Travel,0,30,28
Todd Rosales MD,41,Male,R&D,Analyst,4745,4,0,Yes,1,2,3,1,13,Travel_Rarely,4,49,51
Brian Martin,45,Male,HR,Manager,19521,30,10,No,1,2,0,4,6,Travel_Frequently,3,42,40
David Lopez,26,Male,Sales,Developer,8338,16,12,No,3,2,5,3,30,Non-Travel,2,33,38
Rachel Bradley,23,Male,R&D,Developer,11638,23,6,No,2,4,4,4,12,Travel_Rarely,2,47,46
Casey Chase,50,Other,HR,Developer,12489,16,0,Yes,4,3,9,2,7,Non-Travel,2,42,41
Samantha Robertson,23,Female,HR,Analyst,3990,30,0,No,2,3,7,3,26,Travel_Rarely,6,39,35
Michael Lopez,44,Male,HR,Developer,11068,9,1,Yes,4,2,7,1,3,Non-Travel,6,23,21
Franklin Wright,53,Female,HR,Analyst,8905,6,9,No,2,1,8,1,26,Travel_Frequently,5,15,15
David Molina,40,Male,HR,Manager,12481,13,3,No,2,2,8,1,17,Non-Travel,3,35,32
Elizabeth Sharp,54,Other,HR,Manager,6006,24,10,Yes,3,1,1,3,23,Non-Travel,2,24,26
Matthew Schwartz,29,Male,R&D,Manager,13244,25,6,Yes,1,1,1,1,6,Travel_Frequently,5,24,27
Bryan Parker,31,Female,HR,Analyst,8837,6,10,No,2,3,0,4,29,Travel_Rarely,4,49,54
Jonathan Jacobson,37,Female,HR,Manager,16566,19,4,No,2,4,6,1,4,Travel_Frequently,3,24,24
Emily Wilson,35,Male,Sales,Developer,4272,18,10,Yes,4,4,1,4,14,Travel_Rarely,6,39,35
Elizabeth Mendez,57,Male,Sales,Sales Executive,10303,7,6,Yes,1,1,7,5,22,Non-Travel,5,20,16
Casey Hernandez,22,Female,Sales,Developer,5853,3,3,Yes,3,3,6,5,1,Non-Travel,6,20,19
Lisa Perry,30,Male,R&D,Analyst,19176,5,11,Yes,1,2,1,4,11,Travel_Frequently,3,42,37
Kaitlin Medina,22,Other,HR,Sales Executive,16312,26,13,No,4,1,5,5,20,Travel_Frequently,0,15,16
Colleen Wright,38,Other,R&D,Sales Executive,7861,11,5,No,3,4,3,5,29,Non-Travel,4,21,23
Shelley Miller,59,Other,R&D,Sales Executive,5105,9,12,Yes,3,1,8,2,26,Non-Travel,3,46,43
Michael Miller,38,Female,R&D,Analyst,19333,28,13,No,3,2,9,2,30,Travel_Frequently,6,29,26
Amy Kelley,47,Female,Sales,Developer,9161,23,12,No,3,1,7,4,8,Non-Travel,3,27,24
Laura Hernandez,29,Female,Sales,Developer,16983,11,4,Yes,4,1,2,5,13,Travel_Frequently,2,20,24
Joseph Wilson,49,Other,Sales,Analyst,8768,7,7,Yes,1,4,3,5,5,Travel_Rarely,4,30,25
Kevin Davis,28,Other,HR,Analyst,7667,24,4,Yes,1,4,5,4,5,Travel_Frequently,0,43,44
Rhonda Chavez,49,Female,HR,Manager,12256,1,12,Yes,2,1,1,2,23,Travel_Rarely,1,47,42
Joyce Brown,44,Female,Sales,Developer,10350,26,4,No,4,2,0,2,7,Travel_Rarely,5,33,35
Robert Cummings,53,Female,R&D,Sales Executive,6857,20,1,Yes,4,4,4,1,4,Non-Travel,6,33,28
Robert Reese,25,Other,Sales,Developer,7236,18,9,Yes,4,4,4,3,21,Non-Travel,2,37,33
Amber Cooper,23,Male,HR,Manager,3279,5,10,No,3,4,4,5,19,Non-Travel,4,24,25
Zachary Michael,23,Other,Sales,Analyst,5917,29,7,No,4,1,9,1,29,Travel_Frequently,2,32,31
Timothy Johnson,26,Female,R&D,Developer,6879,12,3,No,3,2,5,5,14,Travel_Rarely,1,21,19
Randy Cannon,44,Other,HR,Sales Executive,5323,16,11,Yes,3,3,0,5,30,Non-Travel,0,44,43
Maria Fisher,40,Female,R&D,Analyst,7140,20,7,No,1,2,4,4,24,Travel_Rarely,5,46,41
Janet Kane DVM,25,Male,Sales,Developer,17297,23,4,Yes,3,3,8,5,27,Travel_Rarely,0,45,48
Michael Stanley,50,Other,HR,Analyst,7489,26,11,Yes,3,2,8,5,21,Travel_Frequently,6,31,30
Martha Bailey,57,Female,Sales,Manager,17150,7,4,Yes,1,3,2,2,29,Travel_Rarely,4,36,38
Joshua Rice,42,Female,Sales,Manager,14887,27,8,No,4,3,4,2,19,Non-Travel,5,20,18
Courtney Smith,49,Female,Sales,Sales Executive,6369,9,2,No,2,3,6,3,2,Travel_Rarely,0,37,39
Edwin Nunez,50,Female,R&D,Manager,12730,9,14,No,2,1,4,2,20,Non-Travel,1,32,36
Kim Morrow,49,Male,R&D,Manager,11225,16,6,Yes,2,2,4,4,14,Non-Travel,4,31,28
Gregory Hill,46,Male,HR,Developer,18578,4,11,Yes,3,3,6,2,11,Non-Travel,4,48,53
Molly Rodriguez,31,Male,Sales,Manager,13822,27,11,Yes,1,3,0,1,9,Travel_Rarely,0,39,40
Jennifer Miranda,43,Male,HR,Developer,11694,10,3,Yes,2,1,9,5,13,Non-Travel,2,45,45
Alexis Harris,27,Other,HR,Sales Executive,3257,30,11,Yes,4,4,1,5,23,Travel_Rarely,4,23,22
Andrew Harper,42,Female,HR,Sales Executive,4068,14,3,No,1,1,7,5,8,Travel_Frequently,2,47,45
Amber Yang,48,Male,Sales,Sales Executive,8940,26,4,No,2,4,2,3,16,Non-Travel,3,20,21
David Robinson,25,Female,Sales,Sales Executive,7419,7,14,Yes,1,1,4,3,9,Non-Travel,1,35,31
Amy Gordon,24,Male,R&D,Manager,5399,22,14,No,2,3,1,5,18,Travel_Rarely,2,49,44
Robert Dennis,49,Male,HR,Sales Executive,3234,4,13,No,1,1,6,5,28,Non-Travel,0,21,21
Kyle Chambers,46,Other,HR,Developer,10706,19,0,No,1,2,9,5,10,Travel_Frequently,1,47,44
Eric Thomas,44,Male,Sales,Analyst,17569,27,4,No,3,2,8,5,27,Travel_Frequently,4,18,20
Connie Turner,38,Female,Sales,Analyst,9905,3,12,No,3,3,0,3,27,Travel_Frequently,2,22,17
Travis Hobbs,55,Other,HR,Sales Executive,3742,27,8,Yes,4,1,1,5,29,Non-Travel,3,48,46
Lori Simmons,38,Male,Sales,Developer,19951,6,1,No,4,2,7,4,9,Non-Travel,5,30,34
William David DDS,55,Male,Sales,Sales Executive,19207,28,0,No,4,1,6,4,9,Travel_Frequently,6,37,42
Emma Butler,49,Other,HR,Manager,12417,21,5,No,4,2,7,3,7,Travel_Rarely,5,44,40
James Webster,45,Other,Sales,Sales Executive,14116,7,4,Yes,2,1,5,4,26,Travel_Frequently,1,40,38
Samuel Turner,49,Male,Sales,Sales Executive,11631,3,1,No,4,3,6,5,23,Travel_Rarely,2,19,23
Renee Melendez,40,Female,R&D,Developer,17094,22,12,No,3,2,3,2,23,Travel_Rarely,4,38,38
Tracy Grant,48,Male,R&D,Manager,3824,1,9,Yes,3,1,1,3,28,Non-Travel,4,33,37
David Harris,36,Other,Sales,Developer,6940,20,7,Yes,4,1,9,3,29,Travel_Rarely,4,17,22
Tammy Boone,25,Male,R&D,Developer,12728,28,12,No,1,4,9,4,19,Travel_Rarely,3,44,40
Nathaniel Lee,38,Female,HR,Developer,13923,8,11,Yes,3,1,1,3,7,Non-Travel,1,35,31
Michael Morrison,51,Female,Sales,Manager,19823,27,12,Yes,1,3,8,4,25,Non-Travel,5,47,47
Chelsea Gill,58,Male,R&D,Analyst,7516,17,5,Yes,4,3,4,1,27,Travel_Frequently,0,23,20
Kristin Mendoza,49,Female,R&D,Analyst,13396,28,14,No,2,1,0,5,4,Non-Travel,0,15,13
Felicia Krueger,55,Other,R&D,Developer,7143,29,8,Yes,2,3,5,1,22,Travel_Rarely,0,15,20
Timothy Hayden,55,Other,HR,Analyst,10109,4,4,Yes,4,4,0,2,26,Travel_Rarely,4,41,39
Zachary Mendoza,41,Female,R&D,Sales Executive,10206,9,10,No,4,3,5,3,11,Travel_Frequently,5,46,46
Larry Harris,44,Other,R&D,Analyst,5662,19,10,Yes,1,4,5,3,13,Non-Travel,6,35,30
Kristen Rowe,35,Female,Sales,Analyst,11131,6,12,No,3,4,4,1,23,Travel_Rarely,6,33,28
Joseph Howard,22,Other,HR,Manager,10624,23,10,Yes,3,3,8,2,8,Travel_Frequently,5,21,24
Jose Crawford,30,Female,Sales,Developer,18093,17,8,No,3,1,0,3,5,Non-Travel,2,31,26
William Harrison,27,Male,HR,Analyst,10981,30,3,Yes,1,3,3,5,20,Non-Travel,3,27,23
Suzanne Wood,29,Female,Sales,Analyst,4597,16,11,Yes,4,4,5,1,3,Travel_Rarely,5,43,41
Justin Walker,56,Male,HR,Developer,18512,6,11,Yes,4,4,7,3,21,Travel_Rarely,6,44,47
Dean Donovan,45,Other,Sales,Sales Executive,16745,20,6,No,4,2,9,3,16,Travel_Rarely,5,18,21
Jennifer Hernandez,39,Other,Sales,Analyst,16947,19,2,No,1,2,6,3,8,Non-Travel,4,48,49
James Whitaker,24,Female,HR,Developer,8973,21,2,Yes,4,2,9,4,7,Travel_Rarely,2,34,29
Mr. Michael Scott PhD,27,Other,Sales,Sales Executive,17194,29,6,Yes,4,3,7,5,17,Travel_Rarely,4,26,29
Maria Henry,48,Male,R&D,Developer,7347,1,2,Yes,4,2,3,2,6,Non-Travel,3,36,36
Robert Jackson,29,Male,Sales,Developer,8256,3,7,Yes,1,2,9,1,16,Travel_Rarely,3,34,30
Katherine Stark,27,Female,HR,Manager,13527,25,1,Yes,4,2,5,3,29,Travel_Rarely,4,31,36
Maria Brown,44,Other,Sales,Manager,15823,24,12,Yes,2,3,9,4,20,Non-Travel,3,30,30
Ryan Landry,31,Male,HR,Developer,16467,28,5,Yes,2,4,3,3,19,Travel_Frequently,0,33,37
Pamela Gutierrez,51,Other,HR,Manager,16312,12,7,Yes,4,1,1,2,14,Non-Travel,4,33,28
Crystal Mann,30,Female,HR,Developer,10442,19,3,No,1,1,0,2,23,Travel_Frequently,5,30,35
Jonathan Brooks,43,Male,R&D,Sales Executive,19446,14,1,Yes,1,3,4,5,2,Travel_Rarely,0,25,27
Mary Jensen,57,Other,HR,Manager,7720,23,2,No,1,3,0,4,13,Travel_Frequently,4,49,44
Mr. Aaron Arnold,38,Male,R&D,Sales Executive,4104,2,12,No,1,4,4,2,25,Travel_Rarely,0,45,44
Joseph Hill,38,Male,HR,Manager,3161,18,2,Yes,4,4,2,4,22,Travel_Frequently,4,26,28
Alicia Li,30,Female,Sales,Sales Executive,11494,12,5,No,1,2,5,5,17,Travel_Rarely,5,33,34
Renee Browning,53,Female,Sales,Sales Executive,13378,19,1,Yes,3,2,2,2,14,Travel_Frequently,5,26,24
Brent Hernandez,58,Other,HR,Analyst,14961,6,13,Yes,1,1,0,2,1,Non-Travel,5,28,25
Joseph Ochoa,25,Other,HR,Developer,4167,13,2,No,1,1,0,4,22,Travel_Rarely,6,28,23
James Watson,25,Female,Sales,Analyst,7874,13,9,Yes,2,1,8,1,30,Travel_Frequently,1,33,38
Karl Branch,49,Male,Sales,Manager,18656,20,4,Yes,1,3,1,5,18,Non-Travel,1,46,43
Michael Abbott,49,Female,HR,Manager,10167,11,6,No,2,3,0,1,7,Travel_Rarely,5,42,41
Shannon Malone,49,Female,Sales,Analyst,19405,14,1,No,4,3,3,5,26,Travel_Rarely,5,24,27
James Tran,28,Female,R&D,Analyst,10827,12,10,Yes,2,3,2,2,5,Travel_Frequently,0,27,26
Adam Jackson,33,Female,HR,Manager,7928,27,5,No,1,2,9,4,12,Travel_Frequently,3,15,14
Mr. Richard Knight PhD,26,Female,Sales,Sales Executive,15102,13,7,No,4,2,2,5,23,Travel_Frequently,5,38,41
Joseph Williams,42,Other,HR,Analyst,17270,7,2,Yes,3,3,5,2,15,Travel_Frequently,1,43,46
Sean Clay,23,Female,R&D,Developer,7387,20,8,No,1,1,4,3,30,Travel_Rarely,2,33,28
Anthony Jones,41,Male,Sales,Analyst,5038,14,9,No,3,1,6,1,1,Travel_Rarely,1,34,36
Stephanie Elliott,51,Male,Sales,Sales Executive,16352,24,0,Yes,3,2,4,3,17,Non-Travel,5,22,19
Timothy Edwards,48,Male,R&D,Manager,9861,1,11,No,4,1,6,2,29,Travel_Frequently,5,28,33
Laurie Goodwin,59,Female,HR,Sales Executive,18777,6,6,No,4,4,3,3,28,Travel_Frequently,1,41,43
Jennifer Jones,47,Male,R&D,Analyst,12833,9,4,Yes,4,4,6,5,22,Non-Travel,3,43,45
David Davenport,48,Other,Sales,Analyst,8580,4,4,No,4,3,1,2,11,Non-Travel,1,21,22
Steven Rivera,38,Other,HR,Manager,6875,19,13,Yes,3,2,6,5,1,Travel_Rarely,0,37,36
Brenda Hinton,36,Male,HR,Analyst,13085,29,5,No,4,1,9,5,10,Travel_Frequently,0,18,22
Kathryn Mccann,46,Male,R&D,Manager,8170,18,1,No,1,1,0,5,4,Travel_Frequently,1,18,21
Jeffrey Roberson,35,Female,R&D,Developer,18863,18,14,Yes,2,4,3,5,4,Travel_Rarely,0,26,31
Randy Friedman,42,Male,Sales,Manager,8324,9,11,No,4,3,1,4,13,Travel_Frequently,3,30,27
Raymond Johnson,57,Other,R&D,Analyst,6034,0,13,No,2,2,3,5,18,Non-Travel,6,45,49
Willie Henry,28,Male,Sales,Analyst,6746,26,14,No,2,2,4,4,22,Travel_Rarely,2,44,41
Todd Reynolds,30,Male,HR,Analyst,5672,3,10,No,3,4,0,4,21,Travel_Rarely,4,23,25
Mary Miller,26,Male,R&D,Developer,16438,19,1,No,4,3,9,1,17,Non-Travel,2,42,45
Rebecca Marquez,42,Female,HR,Manager,10794,15,14,No,1,4,2,3,6,Travel_Rarely,1,16,18
Christian Dawson,30,Male,R&D,Analyst,4530,19,14,No,4,3,2,2,13,Travel_Rarely,4,33,32
Nancy Stewart,22,Female,R&D,Sales Executive,7308,14,7,Yes,1,4,5,4,26,Travel_Rarely,2,40,44
Aaron Parker,37,Male,HR,Sales Executive,15941,30,12,Yes,2,1,1,2,26,Travel_Rarely,2,20,20
Derrick Anderson,32,Male,HR,Manager,3772,4,14,Yes,4,1,0,1,12,Non-Travel,0,23,28
Jerry Peters,35,Male,HR,Sales Executive,5662,15,12,Yes,2,4,6,4,22,Travel_Rarely,5,21,19
Alexander Gomez,46,Other,Sales,Developer,4152,17,9,No,3,2,3,5,9,Travel_Frequently,0,23,20
Kyle Nguyen,53,Female,HR,Analyst,8849,28,8,Yes,1,2,4,5,21,Travel_Frequently,2,48,48
Edgar Hughes,50,Male,HR,Manager,6828,21,14,No,2,3,6,3,10,Travel_Rarely,4,40,40
Steven Stein,50,Female,HR,Manager,12839,11,3,No,1,4,5,2,25,Travel_Frequently,6,38,37
Laura Jackson,25,Other,R&D,Manager,14501,23,11,No,1,3,4,2,23,Travel_Rarely,5,27,29
Charles Turner,40,Other,HR,Developer,15748,9,13,Yes,3,3,8,1,11,Travel_Frequently,2,36,32
Arthur Hamilton MD,42,Other,R&D,Manager,14668,8,14,Yes,2,4,2,5,14,Non-Travel,4,18,23
Mr. David Wright,58,Other,Sales,Developer,14243,3,7,No,1,1,9,4,5,Travel_Rarely,1,43,46
Linda Gonzalez,41,Female,R&D,Sales Executive,18246,14,12,Yes,4,4,6,1,26,Travel_Rarely,3,28,29
Eric Rush,49,Male,HR,Analyst,19868,24,2,Yes,1,4,1,4,9,Travel_Rarely,3,39,41
Manuel Brock,37,Female,HR,Sales Executive,12508,29,14,Yes,4,4,4,4,30,Travel_Frequently,4,15,18
George Ochoa,44,Male,R&D,Analyst,15176,17,9,No,1,1,2,5,25,Non-Travel,3,28,33
