Name,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,OverTime,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked,Education,DistanceFromHome,BusinessTravel,TrainingTimesLastYear,TasksCompletedLastMonth,TasksCompletedNextMonth
Elizabeth Cross,39,Other,HR,Manager,19158,21,4,Yes,4,4,4,1,7,Travel_Frequently,1,19,19
Angela Brown,44,Female,HR,Analyst,9674,12,7,No,2,3,4,1,20,Non-Travel,3,31,35
Hannah Montoya,51,Female,HR,Sales Executive,11091,19,7,Yes,2,4,9,1,23,Travel_Frequently,0,32,27
Sean Kane,57,Female,R&D,Developer,15158,8,14,Yes,2,2,2,4,13,Travel_Rarely,5,22,26
Matthew Guzman,44,Female,Sales,Sales Executive,11806,12,8,No,2,1,5,1,18,Travel_Rarely,2,40,45
Richard Reyes,42,Male,R&D,Developer,3461,7,10,No,4,2,1,4,13,Travel_Rarely,1,39,38
Andrew Fernandez,45,Other,R&D,Sales Executive,4275,16,14,Yes,2,4,0,3,21,Travel_Frequently,3,43,39
Jonathan Walker,47,Other,HR,Sales Executive,3826,8,3,No,2,3,6,2,26,Non-Travel,3,19,24
Nicholas Long,36,Female,R&D,Sales Executive,3890,14,12,No,3,4,0,2,6,Travel_Frequently,1,46,46
Kurt Wagner,28,Other,Sales,Developer,9831,5,1,Yes,4,1,6,3,10,Travel_Frequently,2,37,39
Dylan Foster,52,Female,R&D,Sales Executive,12760,6,11,Yes,4,2,1,4,1,Travel_Rarely,5,18,16
Bradley Duncan,47,Female,Sales,Sales Executive,13974,16,8,No,3,1,8,2,29,Non-Travel,0,47,51
James Miller,58,Other,R&D,Sales Executive,10326,16,0,No,4,1,8,5,4,Travel_Rarely,5,37,38
Patricia Anderson,56,Male,R&D,Developer,15176,29,0,No,3,3,5,4,13,Travel_Frequently,4,37,33
Justin Freeman,53,Other,HR,Sales Executive,8319,7,14,No,1,2,9,3,30,Travel_Frequently,5,40,37
Christina Gilbert,49,Male,R&D,Manager,11808,2,10,Yes,3,1,4,1,7,Non-Travel,6,16,13
Danielle Jones,42,Male,Sales,Manager,18218,30,10,Yes,1,4,6,4,5,Travel_Rarely,6,40,40
Erica Glass,53,Male,R&D,Sales Executive,19391,12,0,No,4,3,7,5,9,Travel_Rarely,6,38,36
Michael Henderson,46,Female,HR,Developer,9753,9,4,Yes,3,4,1,4,8,Travel_Rarely,5,45,44
Frank Wheeler,43,Male,R&D,Sales Executive,18972,23,4,No,1,4,8,1,17,Travel_Rarely,2,25,23
Eric Huerta,31,Other,HR,Manager,15265,4,3,No,1,2,3,4,21,Travel_Rarely,2,18,18
Wanda Ramos,49,Other,HR,Analyst,3652,29,10,Yes,2,4,1,1,19,Travel_Rarely,5,26,22
Andrew Meyers,32,Other,Sales,Analyst,9744,1,10,Yes,1,3,0,3,26,Non-Travel,1,34,33
James Todd,22,Male,R&D,Analyst,15689,25,1,No,2,2,0,1,22,Travel_Rarely,4,46,49
Ashley Brown,47,Other,Sales,Manager,7678,25,11,Yes,2,4,9,4,16,Travel_Rarely,5,20,16
Tammy Melton,43,Male,R&D,Developer,15627,10,14,No,4,4,2,4,29,Non-Travel,1,34,37
Alexis Benson,56,Male,Sales,Sales Executive,14343,1,9,Yes,2,1,2,5,27,Non-Travel,3,40,42
Jerry Johnson,28,Other,R&D,Analyst,18743,25,7,No,2,1,1,2,30,Travel_Frequently,2,25,27
Joshua Harris,48,Other,HR,Analyst,16474,26,13,No,2,4,2,1,7,Travel_Rarely,6,42,46
Deanna Webb,29,Male,Sales,Sales Executive,7801,16,8,Yes,1,4,1,4,16,Non-Travel,0,21,20
Brenda Hale,32,Male,R&D,Analyst,5858,3,5,Yes,3,2,8,5,24,Non-Travel,4,28,24
Kevin Alvarado,49,Female,R&D,Analyst,9369,0,12,Yes,4,4,0,1,25,Travel_Rarely,2,30,32
Christopher Campbell,44,Female,Sales,Sales Executive,13708,3,4,Yes,1,3,3,1,20,Non-Travel,1,38,37
Lisa Brown,49,Male,R&D,Manager,11150,28,0,No,1,2,2,3,24,Travel_Frequently,2,34,32
Alejandra Price,24,Other,HR,Developer,12728,4,5,No,1,1,8,5,29,Travel_Frequently,3,38,33
Samuel Keller,39,Other,Sales,Developer,14841,19,10,No,4,3,0,4,15,Travel_Rarely,4,21,21
Alicia Dillon,52,Female,HR,Manager,19359,8,2,Yes,2,4,4,5,6,Travel_Frequently,3,41,46
Crystal James,37,Female,R&D,Sales Executive,3855,4,10,No,2,3,5,1,13,Travel_Rarely,0,20,24
Ariana Stewart,26,Male,Sales,Manager,8864,3,4,Yes,4,4,5,2,5,Travel_Rarely,4,34,39
Kim Lopez,25,Other,HR,Sales Executive,19487,24,8,No,1,1,5,5,8,Non-Travel,4,42,43
Judith House,40,Female,Sales,Developer,10848,10,11,No,1,1,0,1,11,Travel_Frequently,2,24,25
David Moreno,41,Other,Sales,Analyst,4323,9,9,No,2,3,0,4,12,Non-Travel,5,30,28
James Moore,44,Male,Sales,Developer,12778,0,5,No,4,1,9,5,1,Travel_Frequently,5,39,44
Harold Garrett,30,Male,R&D,Sales Executive,12457,21,6,Yes,3,4,8,2,10,Travel_Rarely,4,49,47
William Mason,48,Male,HR,Sales Executive,7765,0,8,No,2,2,5,2,30,Travel_Rarely,1,36,39
Lori Johns,31,Female,HR,Analyst,5008,22,5,Yes,1,3,8,4,21,Travel_Frequently,3,19,21
Robin Johnson,36,Female,Sales,Developer,13132,28,1,Yes,3,1,2,4,4,Non-Travel,0,15,20
Diana Hernandez,29,Other,Sales,Sales Executive,6936,7,3,Yes,3,3,2,5,1,Travel_Frequently,2,42,37
Mary Miller,55,Male,Sales,Analyst,5242,15,0,No,4,1,5,4,7,Travel_Frequently,6,15,16
Tyler Salazar,32,Female,Sales,Sales Executive,16701,19,3,Yes,1,2,6,2,21,Travel_Frequently,0,26,30
Crystal Allen,45,Male,R&D,Developer,6618,23,10,No,2,3,8,1,24,Non-Travel,5,48,46
Wesley Browning,55,Male,Sales,Analyst,4295,20,6,Yes,1,1,7,1,5,Non-Travel,1,42,37
Joshua Clark,56,Male,Sales,Developer,3732,18,3,No,1,1,7,1,27,Non-Travel,2,21,18
Joshua Mcbride,26,Female,Sales,Sales Executive,9782,26,2,Yes,2,3,6,1,8,Non-Travel,1,20,21
Ellen Thornton,45,Male,Sales,Analyst,11769,21,4,No,4,2,0,4,27,Non-Travel,1,39,44
Brandy Forbes,34,Other,Sales,Manager,10423,15,8,No,4,3,0,3,30,Travel_Frequently,1,30,31
Brianna Fitzpatrick,25,Male,HR,Analyst,14811,27,14,No,2,4,4,1,14,Non-Travel,6,37,35
Emily Grant,24,Female,Sales,Manager,12759,3,11,No,1,3,6,4,14,Non-Travel,6,39,36
Bailey Stewart,38,Female,R&D,Analyst,18241,11,3,Yes,1,2,5,4,13,Travel_Rarely,3,15,15
Monica Cannon,48,Male,Sales,Developer,12166,7,13,No,4,1,4,1,2,Non-Travel,2,34,33
Jennifer Jenkins,54,Male,R&D,Analyst,4882,4,10,No,1,2,7,5,20,Travel_Frequently,4,20,15
Timothy Shannon,28,Male,HR,Analyst,13836,18,1,Yes,4,1,9,4,12,Travel_Rarely,4,21,26
Denise Maxwell,32,Other,R&D,Developer,19010,19,7,Yes,4,2,1,4,26,Non-Travel,4,36,34
Cody Farmer,39,Female,R&D,Manager,10254,21,7,Yes,2,4,7,4,27,Travel_Rarely,2,15,19
Debra Bradley,41,Male,HR,Sales Executive,19852,25,10,Yes,3,1,4,4,6,Travel_Frequently,6,31,31
David Mcdaniel,43,Other,Sales,Manager,16050,10,1,No,4,2,8,5,21,Non-Travel,4,19,24
Michael Woods,39,Other,HR,Sales Executive,19373,15,10,Yes,1,4,3,1,5,Travel_Rarely,4,21,16
Lisa Joseph,50,Male,Sales,Analyst,7215,10,12,Yes,2,4,7,3,27,Travel_Rarely,6,48,53
Samuel Henry,44,Female,Sales,Manager,10628,28,7,No,2,3,3,1,25,Travel_Frequently,0,48,52
Corey Johnson,36,Female,HR,Manager,9480,24,3,Yes,4,3,0,5,17,Non-Travel,6,38,42
Alexis Nelson,52,Male,HR,Sales Executive,8943,11,7,No,3,4,0,2,17,Travel_Frequently,0,42,41
Patrick Mcneil,55,Female,HR,Developer,9487,20,10,No,2,4,2,4,11,Non-Travel,1,32,35
Andrea Ho,33,Female,Sales,Manager,6467,22,1,No,1,2,4,4,22,Travel_Frequently,4,36,32
Dr. Katherine Nguyen,36,Female,Sales,Analyst,18978,15,2,Yes,4,1,4,1,18,Travel_Frequently,0,43,40
David Sullivan,33,Other,R&D,Manager,18782,14,13,No,3,1,6,3,7,Travel_Rarely,1,48,48
Nicolas James,31,Other,Sales,Developer,4813,11,12,Yes,4,2,8,5,22,Travel_Frequently,4,42,42
Logan Newton,56,Female,Sales,Manager,16588,30,9,Yes,2,2,8,2,9,Non-Travel,3,49,49
Kelly Liu,44,Male,R&D,Manager,3611,20,7,No,2,3,0,3,8,Travel_Rarely,5,26,30
Kelly Hayes,34,Male,Sales,Manager,4071,6,12,No,3,1,1,3,26,Travel_Frequently,5,23,25
Amanda Forbes,43,Female,R&D,Manager,13258,25,10,Yes,4,1,8,4,23,Travel_Frequently,1,33,36
Jennifer Moss,45,Other,HR,Sales Executive,17343,3,9,No,1,1,3,3,13,Non-Travel,4,38,37
Kelli Mccoy,40,Female,Sales,Manager,8880,30,5,No,4,4,9,3,21,Non-Travel,2,47,48
Eddie Sanders,33,Other,R&D,Sales Executive,17194,13,4,Yes,2,3,8,4,1,Travel_Frequently,5,24,26
Ronald Murray,30,Other,HR,Analyst,13466,12,1,No,1,4,6,1,8,Travel_Rarely,3,22,18
Louis Brown,39,Male,Sales,Manager,10314,3,4,No,3,2,3,4,4,Non-Travel,4,36,33
Brenda Gallegos,41,Female,Sales,Manager,11344,21,8,No,1,2,5,5,17,Travel_Frequently,6,48,43
Nathan Wilson,34,Other,R&D,Analyst,7684,18,7,Yes,4,4,5,1,5,Travel_Frequently,1,29,27
Teresa Horton,51,Male,Sales,Developer,13933,1,7,Yes,1,4,8,2,2,Travel_Frequently,6,36,34
Jason Hayes,47,Male,Sales,Developer,11179,1,10,Yes,1,1,3,4,29,Non-Travel,2,47,51
Kevin Marquez,38,Other,HR,Analyst,17722,24,2,No,4,3,5,5,16,Travel_Rarely,4,16,14
Jesse Wright,42,Other,HR,Manager,4616,0,14,Yes,1,4,3,2,20,Non-Travel,3,31,29
Susan Hogan,57,Male,Sales,Sales Executive,5804,0,10,No,2,2,3,1,18,Travel_Frequently,4,40,36
Becky Wilson,43,Male,HR,Sales Executive,3764,3,7,No,2,3,5,5,28,Non-Travel,1,15,11
Jack Mills,38,Male,Sales,Sales Executive,16793,9,5,Yes,1,2,3,5,25,Travel_Rarely,1,39,37
Richard Hunt,58,Other,HR,Developer,12629,6,3,No,2,4,7,4,30,Travel_Frequently,2,38,33
Jamie James,25,Male,Sales,Developer,8583,6,3,No,4,2,3,5,18,Travel_Frequently,4,43,48
Susan Cunningham,33,Female,R&D,Manager,16409,20,12,Yes,3,2,7,2,3,Travel_Frequently,0,20,17
Brittany Melton,43,Female,R&D,Manager,17384,27,14,Yes,4,1,9,2,17,Travel_Rarely,6,17,13
Michael Barnes,22,Male,Sales,Manager,7654,1,3,Yes,3,2,0,3,26,Non-Travel,2,42,43
Randy Griffin,58,Female,R&D,Sales Executive,10097,27,13,No,1,4,6,3,9,Travel_Frequently,6,16,13
Autumn Anderson,41,Male,HR,Analyst,10672,19,9,No,3,2,3,5,9,Travel_Frequently,3,20,16
Marcus King,53,Other,HR,Developer,13054,29,8,No,4,3,2,5,23,Travel_Rarely,1,31,33
Scott Stephens,54,Male,HR,Sales Executive,19556,11,4,No,3,3,2,5,21,Travel_Rarely,1,16,13
Stephen Young,34,Other,R&D,Sales Executive,18053,24,6,No,3,3,2,2,3,Travel_Frequently,1,30,30
Karen Ortiz,22,Female,HR,Sales Executive,16012,16,6,Yes,3,4,3,4,5,Travel_Rarely,6,46,44
Kyle Sanchez,59,Male,R&D,Manager,12900,28,11,Yes,1,1,0,3,16,Travel_Rarely,4,27,22
Lisa Grant,40,Female,Sales,Developer,4131,14,4,Yes,4,2,2,2,25,Travel_Rarely,1,37,42
Amber Hernandez,58,Male,HR,Manager,3582,28,13,Yes,3,3,2,4,19,Non-Travel,5,30,25
Amanda Nash,46,Male,HR,Developer,4939,26,4,Yes,4,4,9,2,19,Travel_Frequently,5,22,19
Sara Evans,40,Male,Sales,Developer,10085,25,6,Yes,4,2,5,5,30,Travel_Frequently,0,20,18
Amber Butler,49,Male,HR,Sales Executive,17302,17,8,No,4,2,6,4,10,Travel_Frequently,5,38,37
Michael Carr,32,Female,HR,Sales Executive,12235,1,12,Yes,4,2,8,2,16,Travel_Rarely,1,28,31
Linda Cobb,31,Male,Sales,Manager,18825,12,2,No,4,3,1,1,14,Non-Travel,6,25,20
Jesse Riley,22,Male,Sales,Sales Executive,9962,6,10,Yes,3,4,1,1,13,Travel_Rarely,4,36,39
Anna Evans,55,Female,HR,Analyst,17919,17,3,Yes,2,4,3,2,4,Non-Travel,4,25,25
James Jones,58,Other,Sales,Analyst,12756,0,2,No,1,4,6,1,19,Travel_Frequently,3,45,41
Joshua Carter,42,Male,HR,Analyst,7028,30,4,No,3,3,7,2,5,Travel_Frequently,3,41,45
Michael Hill,25,Female,HR,Manager,6886,4,1,No,3,3,1,5,12,Travel_Frequently,5,48,50
Kelly Dominguez,44,Female,R&D,Analyst,10434,4,14,Yes,3,1,2,2,5,Travel_Frequently,2,21,21
Ashley Blair,25,Female,R&D,Sales Executive,9122,0,6,Yes,2,3,6,5,19,Travel_Frequently,5,24,20
Victoria Webb,24,Male,HR,Manager,13359,13,13,No,2,4,7,5,3,Travel_Frequently,3,32,28
Taylor Andersen,54,Male,Sales,Manager,3047,21,2,No,4,3,3,3,17,Travel_Rarely,5,46,46
Lee Stewart,22,Male,HR,Analyst,11670,9,7,Yes,1,3,2,1,21,Travel_Rarely,4,44,44
Whitney Gomez,23,Male,HR,Manager,16888,18,11,No,2,4,3,5,19,Travel_Frequently,0,31,33
Justin Stone,24,Female,HR,Manager,17065,24,7,Yes,1,4,5,1,28,Travel_Rarely,1,45,44
Katherine White,55,Other,Sales,Sales Executive,7396,0,7,No,1,4,6,3,15,Travel_Frequently,5,31,35
Michelle Krause,25,Male,Sales,Manager,13140,12,14,Yes,4,1,3,5,20,Travel_Frequently,6,20,18
Alexander Garrett,58,Other,HR,Developer,5386,21,5,No,3,1,4,4,14,Non-Travel,1,45,47
Ryan Marsh,39,Male,R&D,Analyst,15497,23,7,No,2,4,2,4,14,Travel_Frequently,3,43,42
Mrs. Felicia Castro DDS,46,Male,R&D,Analyst,19727,6,5,No,4,1,0,5,17,Travel_Rarely,4,46,47
Curtis Campbell,52,Female,HR,Developer,8183,27,10,Yes,4,1,2,3,12,Travel_Frequently,5,28,26
Elizabeth Hunter,46,Male,HR,Analyst,17416,16,9,Yes,1,4,6,4,25,Travel_Frequently,1,43,39
Aaron Jennings,31,Female,HR,Manager,14490,9,3,Yes,2,2,1,1,29,Non-Travel,3,32,27
Nathaniel Gilbert,29,Female,Sales,Sales Executive,19537,24,11,Yes,3,4,3,5,12,Travel_Frequently,5,26,28
Christopher Rivera,55,Male,HR,Analyst,15945,29,5,No,4,4,7,1,3,Travel_Frequently,3,36,36
Michael Hendricks,42,Female,R&D,Manager,4434,1,9,Yes,2,3,1,3,27,Non-Travel,3,40,42
Maria Olson,48,Female,R&D,Developer,6249,7,3,Yes,2,1,4,1,4,Non-Travel,6,42,43
Stephanie Herrera,33,Male,Sales,Sales Executive,17255,9,14,Yes,2,1,0,3,26,Travel_Rarely,6,25,21
Richard Gutierrez,56,Female,HR,Manager,4655,5,4,Yes,1,1,1,3,1,Travel_Rarely,6,29,34
Sandy Evans,57,Male,HR,Developer,12207,13,5,Yes,3,1,2,2,7,Travel_Frequently,1,49,46
Emily Herrera,27,Male,HR,Sales Executive,12010,6,0,No,2,1,0,3,30,Travel_Frequently,1,41,37
Michael Marsh,48,Other,HR,Developer,6661,12,2,Yes,3,2,7,5,11,Travel_Frequently,0,42,47
Heather Montes,59,Female,Sales,Manager,12739,26,10,Yes,3,2,0,4,15,Travel_Frequently,2,18,23
Andre Terrell,27,Other,Sales,Analyst,13460,0,13,Yes,2,2,8,4,17,Non-Travel,6,22,26
Sarah Duncan,29,Male,HR,Manager,8038,11,13,No,2,2,4,3,12,Non-Travel,2,48,51
Kurt Hancock,27,Female,HR,Manager,9119,27,5,No,3,2,4,2,5,Non-Travel,3,40,40
Michele Edwards,27,Male,HR,Manager,11841,2,4,Yes,3,2,5,1,7,Non-Travel,2,25,30
Jason Crawford,56,Male,HR,Analyst,10329,26,3,Yes,4,4,6,3,4,Non-Travel,5,43,46
Jesse Sampson,32,Female,HR,Analyst,10173,0,12,No,4,3,7,4,27,Non-Travel,4,19,23
Eric Rodriguez,27,Male,HR,Analyst,18338,25,11,No,2,3,3,1,18,Travel_Rarely,2,34,35
Paula Gentry,43,Female,R&D,Manager,11117,26,5,Yes,4,2,9,3,5,Travel_Frequently,4,26,29
Alexander Webb,39,Other,Sales,Manager,8934,4,3,Yes,4,1,1,2,10,Travel_Frequently,3,47,52
Cheryl Mclean,35,Other,Sales,Manager,12313,29,10,Yes,3,3,6,4,24,Travel_Rarely,5,40,41
Kelly Rowe,46,Female,R&D,Sales Executive,13565,22,12,No,4,1,4,3,10,Travel_Rarely,1,42,37
Shane Short,23,Male,HR,Analyst,17770,7,12,No,2,3,9,5,27,Non-Travel,1,23,23
Megan Anderson,57,Other,Sales,Sales Executive,12248,25,12,Yes,3,3,0,4,16,Travel_Rarely,2,42,41
Julia Reeves,31,Other,R&D,Analyst,6801,17,8,No,3,4,1,2,30,Travel_Rarely,4,42,46
April Randolph,28,Male,R&D,Manager,19313,14,10,No,1,3,7,1,14,Travel_Rarely,6,28,26
Linda Miller,42,Other,R&D,Developer,19828,24,10,Yes,1,3,2,1,28,Travel_Rarely,6,33,33
Angel Meyer,34,Male,Sales,Analyst,8616,11,1,No,4,3,9,2,29,Non-Travel,5,19,14
Emily Lane,58,Male,R&D,Manager,17635,16,2,Yes,1,3,8,1,9,Travel_Rarely,1,18,13
Steven Flores,29,Other,R&D,Developer,17263,11,4,Yes,1,3,8,5,12,Non-Travel,1,38,40
Donald Flores,41,Female,HR,Analyst,17106,16,5,Yes,3,2,2,4,27,Non-Travel,5,26,26
Bruce Hernandez,41,Other,R&D,Manager,18781,0,6,Yes,3,4,8,5,21,Travel_Rarely,2,36,40
Adrian Dean,52,Other,HR,Manager,9440,3,0,Yes,2,1,9,5,27,Travel_Rarely,6,41,39
Christine Bell,42,Other,R&D,Sales Executive,16569,26,9,Yes,4,4,9,1,1,Travel_Rarely,5,29,24
Charles Bush,56,Male,HR,Sales Executive,10545,18,12,No,4,3,6,3,9,Travel_Rarely,4,32,27
David Jones,34,Other,HR,Manager,9871,15,5,Yes,2,3,4,4,27,Non-Travel,6,17,15
Gina Wallace,48,Female,HR,Manager,4842,14,4,Yes,2,3,0,2,26,Travel_Frequently,1,33,33
John Lowe,46,Female,R&D,Analyst,9233,6,12,Yes,2,1,0,2,26,Non-Travel,0,30,33
Anthony Simmons,51,Male,HR,Analyst,15177,8,4,Yes,1,2,1,2,17,Travel_Frequently,5,25,21
Kyle Watkins,38,Male,Sales,Manager,19336,19,11,No,3,2,6,5,4,Travel_Rarely,6,42,44
Melissa Jensen,46,Male,R&D,Developer,19330,22,8,Yes,1,2,9,2,13,Non-Travel,5,19,15
Robert Marquez,23,Other,HR,Analyst,3587,19,10,No,3,1,9,4,17,Travel_Rarely,5,24,27
Kim Beltran,26,Female,HR,Sales Executive,7188,9,5,Yes,1,3,1,5,3,Travel_Rarely,0,24,29
Julie Anderson,46,Other,HR,Developer,15888,24,2,Yes,4,2,5,5,18,Travel_Rarely,0,26,23
Tamara Mcdonald,53,Male,HR,Sales Executive,3299,5,2,No,1,3,5,1,5,Non-Travel,0,16,12
Michael Mckinney,51,Female,Sales,Developer,8478,26,14,No,2,2,3,3,27,Travel_Frequently,6,16,12
David Walker,28,Other,Sales,Sales Executive,10878,20,1,No,4,3,4,3,22,Travel_Rarely,6,41,43
Lisa Durham,30,Male,Sales,Developer,12776,23,9,No,3,1,7,1,18,Non-Travel,1,24,26
Michael Ortega,23,Male,HR,Developer,18088,10,14,No,1,1,4,3,9,Travel_Frequently,1,39,42
Sonya Chavez,24,Other,Sales,Analyst,18256,30,11,No,3,2,0,4,12,Travel_Frequently,1,20,15
John Bell,55,Female,Sales,Developer,6481,12,1,No,4,4,2,2,8,Non-Travel,5,44,42
Christopher Tate,32,Male,R&D,Developer,6892,7,1,No,3,1,6,3,4,Travel_Rarely,0,36,41
Bethany Garcia,39,Male,HR,Developer,14344,10,7,No,3,4,2,5,11,Travel_Frequently,4,45,48
Rebecca Nguyen,43,Female,HR,Analyst,17532,8,7,No,3,3,7,2,29,Non-Travel,6,28,26
Rebecca Patel,43,Other,HR,Developer,12426,5,0,Yes,4,4,8,1,10,Travel_Frequently,3,41,39
Jason Oliver,31,Male,R&D,Manager,15413,14,4,No,4,3,3,2,3,Travel_Frequently,0,20,20
Valerie Reyes,56,Male,HR,Analyst,4167,8,1,No,4,3,0,4,19,Non-Travel,2,47,45
Robert Garza,56,Other,R&D,Developer,9821,9,3,Yes,3,1,8,1,4,Travel_Rarely,1,45,42
Jessica Cobb,39,Female,Sales,Sales Executive,15065,26,9,Yes,4,2,0,1,7,Travel_Frequently,5,20,15
Cynthia Bates,39,Female,R&D,Developer,3455,17,7,Yes,1,4,0,1,13,Non-Travel,3,48,50
Timothy Andrews,50,Female,Sales,Manager,8870,6,8,No,3,1,1,2,16,Non-Travel,0,42,47
Mr. Joel Peters,53,Female,Sales,Developer,9623,1,14,No,2,2,4,1,3,Travel_Frequently,1,45,40
Casey Blanchard,50,Male,R&D,Sales Executive,12190,10,13,Yes,3,3,1,2,5,Travel_Rarely,0,16,16
Brian Cervantes,29,Female,HR,Developer,14642,4,0,Yes,2,3,2,3,23,Travel_Frequently,5,23,28
Jamie Snyder,51,Female,R&D,Manager,17351,3,7,No,4,4,3,4,23,Travel_Rarely,4,26,27
Ann Montoya,39,Other,HR,Sales Executive,17427,1,9,No,3,3,3,5,6,Travel_Frequently,1,46,43
Stephanie Fields,26,Male,Sales,Developer,18403,11,7,No,1,3,9,4,8,Non-Travel,0,41,40
Charles Hernandez,30,Female,R&D,Manager,9361,8,12,Yes,3,4,8,3,23,Non-Travel,0,43,47
Jean Lane,36,Male,HR,Developer,6185,7,2,Yes,2,1,8,2,20,Travel_Rarely,3,29,27
Michael Stewart,57,Other,Sales,Analyst,19400,14,7,Yes,1,2,2,3,23,Travel_Frequently,6,31,28
Susan Torres,27,Other,R&D,Manager,16894,9,4,Yes,4,2,5,5,26,Travel_Frequently,0,29,24
Jessica Haas,59,Female,R&D,Developer,6775,19,0,Yes,3,1,5,4,28,Travel_Rarely,5,26,29
Brandon Smith,58,Female,R&D,Sales Executive,7005,7,8,No,4,4,4,5,18,Travel_Frequently,2,15,15
Mrs. Bethany Phillips,36,Male,HR,Developer,11432,2,1,Yes,4,2,1,3,26,Travel_Rarely,1,18,17
Joshua Brown,42,Male,R&D,Manager,7879,19,0,No,4,1,4,5,25,Travel_Rarely,5,48,48
Samantha Howard,22,Female,R&D,Analyst,19224,6,2,Yes,3,3,8,3,7,Travel_Rarely,6,45,42
Sharon Young,59,Other,Sales,Manager,16325,23,3,No,2,2,5,1,28,Travel_Frequently,6,32,31
Jennifer Flores,48,Male,Sales,Developer,5264,15,11,Yes,2,1,5,4,24,Travel_Rarely,3,45,43
James Gardner,39,Male,R&D,Manager,16399,22,3,Yes,1,3,4,1,2,Travel_Rarely,5,26,26
Karen Lopez,38,Male,Sales,Analyst,19521,1,5,Yes,4,4,0,2,29,Non-Travel,4,26,29
Tim Larsen,53,Other,Sales,Manager,10929,14,8,Yes,4,3,3,3,22,Non-Travel,1,33,37
Zachary Santiago,54,Female,HR,Analyst,15971,0,0,Yes,4,3,9,1,16,Non-Travel,0,49,48
Benjamin Smith,29,Other,R&D,Sales Executive,11599,29,12,No,3,1,6,1,6,Travel_Frequently,5,41,38
Katelyn Kim,34,Female,R&D,Analyst,11423,24,10,No,3,2,0,4,1,Travel_Frequently,2,46,43
Angela May MD,30,Female,R&D,Developer,18888,30,9,No,1,3,1,5,2,Travel_Rarely,0,21,20
Richard Munoz,59,Other,R&D,Analyst,19690,7,4,No,3,1,2,5,8,Non-Travel,3,41,41
Christopher Hicks,32,Male,Sales,Developer,18577,10,9,Yes,4,4,9,3,21,Travel_Rarely,2,46,42
Joanna Kelly,39,Male,R&D,Analyst,12883,19,11,Yes,3,2,1,4,24,Non-Travel,3,44,43
Larry Lane,25,Male,HR,Developer,4062,25,1,Yes,4,3,9,4,6,Travel_Rarely,1,26,30
Cynthia Shaw,56,Other,HR,Manager,3677,26,8,No,2,1,2,1,24,Travel_Rarely,0,15,17
Joshua Richardson,24,Male,R&D,Developer,18825,27,0,Yes,3,4,5,1,9,Non-Travel,3,38,40
Laura Bush,32,Female,R&D,Developer,10928,26,10,No,3,3,0,2,30,Travel_Rarely,6,18,21
John Vaughn,58,Male,Sales,Manager,6406,20,4,No,1,4,4,3,25,Travel_Frequently,0,31,30
Nicholas Terrell,28,Female,Sales,Analyst,18039,17,12,No,4,4,6,2,8,Travel_Frequently,6,20,23
Dr. Julie Miller,25,Female,Sales,Analyst,12346,7,7,No,3,3,5,5,29,Travel_Rarely,1,25,24
